Символ;Вес 1;Вес 2;Вес 3;Вес 4;Вес 5;Вес 6;Вес 7;Вес 8;Вес 9;Центр X;Центр Y;Момент X;Момент Y;Отношение;Профиль X;Профиль Y;Контур
а;0.01461038961038961;0.08603896103896104;0.1314935064935065;0.16558441558441558;0.027597402597402596;0.18019480519480519;0.16233766233766234;0.12012987012987013;0.11201298701298701;0.5049013486513487;0.5350586913086913;0.057875409079868684;0.0536601095192894;1.0;0.0,0.0,0.08668730650154793,0.5356037151702786,0.7492260061919503,0.5975232198142416,0.3761609907120743,0.2647058823529412,0.20588235294117646,0.14241486068111459,0.12229102167182668,0.1795665634674924,0.5882352941176471,0.7554179566563463,0.8637770897832822,0.7043343653250774,0.44427244582043357,0.11300309597523299,0.0,0.0;0.0,0.0,0.28070175438596484,0.442495126705653,0.48148148148148145,0.48148148148148145,0.4444444444444444,0.45224171539961017,0.4444444444444444,0.48148148148148145,0.48148148148148145,0.5360623781676412,0.5633528265107212,0.5925925925925926,0.6354775828460038,0.7524366471734893,0.9649122807017544,0.3918128654970774,0.0,0.0;0.1283284023668639,2
б;0.010040160642570281;0.11244979919678715;0.0963855421686747;0.1827309236947791;0.06224899598393574;0.18072289156626506;0.1746987951807229;0.10240963855421686;0.0783132530120482;0.46760117392647516;0.5255637936360829;0.055328937061904615;0.05482135046686114;1.0;0.0,0.0,0.3742690058479532,0.7446393762183235,0.861598440545809,0.4658869395711501,0.2962962962962963,0.2514619883040935,0.20467836257309946,0.22807017543859645,0.29044834307992196,0.37037037037037035,0.4600389863547757,0.9688109161793359,0.8674463937621832,0.5360623781676412,0.1111111111111111,0.05068226120857719,0.0,0.0;0.0,0.0,0.2973684210526315,0.9052631578947369,0.4947368421052637,0.12894736842105267,0.1,0.5736842105263151,0.6,0.6236842105263156,0.7578947368421054,0.7236842105263157,0.7605263157894736,0.7,0.7,0.6631578947368422,0.5052631578947371,0.5315789473684208,0.0,0.0;0.05066568047337278,3
в;0.03387096774193549;0.10806451612903226;0.12419354838709677;0.23225806451612904;0.11612903225806452;0.0935483870967742;0.12096774193548387;0.10483870967741936;0.06612903225806452;0.4548076923076923;0.4930831265508685;0.05061023692498568;0.04931212536712867;1.0;0.0,0.0,0.1719298245614034,0.7368421052631579,0.9491228070175438,0.7105263157894738,0.4894736842105264,0.36666666666666664,0.31754385964912285,0.27192982456140347,0.2947368421052631,0.43684210526315803,0.792982456140351,0.7035087719298246,0.7052631578947367,0.38245614035087716,0.268421052631579,0.036842105263158426,0.0,0.0;0.0,0.0,0.40688259109311736,0.5020242914979757,0.5769230769230769,0.5607287449392713,0.5384615384615384,0.5080971659919029,0.44331983805668024,0.8380566801619431,0.736842105263158,0.6336032388663967,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5668016194331983,0.5,0.43117408906882715,0.0,0.0;0.06841715976331361,2
г;0.007371007371007371;0.13267813267813267;0.2285012285012285;0.08353808353808354;0.11793611793611794;0.08845208845208845;0.24078624078624078;0.07616707616707617;0.02457002457002457;0.4854942354942355;0.47798147798147794;0.052314370897814474;0.06916538895370872;1.0;0.0,0.0,0.10233918128654965,0.5614035087719298,0.7777777777777778,0.8976608187134504,0.6111111111111112,0.5438596491228069,0.4444444444444444,0.3888888888888889,0.3508771929824563,0.3888888888888889,0.45614035087719285,0.549707602339181,0.8830409356725141,0.763157894736842,0.5584795321637428,0.1023391812865512,0.0,0.0;0.0,0.0,0.4599542334096109,0.9816933638443937,0.5766590389016019,0.34782608695652173,0.30434782608695654,0.2791762013729978,0.2608695652173913,0.2608695652173913,0.29748283752860405,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.48970251716247143,0.560640732265446,0.5858123569794059,0.0,0.0;0.09134615384615384,2
д;0.0;0.04081632653061224;0.06938775510204082;0.14081632653061224;0.06938775510204082;0.2857142857142857;0.18571428571428572;0.08775510204081632;0.12040816326530612;0.5217032967032967;0.5702511773940345;0.06522830877913295;0.04035066749800995;1.0;0.0,0.0,0.3245614035087719,0.5368421052631579,0.6912280701754385,0.33859649122807023,0.2,0.16666666666666666,0.13333333333333333,0.18947368421052638,0.18947368421052624,0.21754385964912284,0.3333333333333333,0.43333333333333335,0.9298245614035084,0.8403508771929824,0.5736842105263161,0.06140350877193071,0.0,0.0;0.0,0.0,0.2222222222222222,0.16959064327485376,0.24853801169590634,0.2777777777777778,0.2777777777777778,0.8596491228070169,0.7777777777777778,0.824561403508772,0.8801169590643274,0.8888888888888888,0.932748538011696,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.6695906432748538,0.6111111111111112,0.0,0.0;0.07581360946745562,2
е;0.019927536231884056;0.09239130434782608;0.14673913043478262;0.2391304347826087;0.07246376811594203;0.06340579710144928;0.1793478260869565;0.14492753623188406;0.041666666666666664;0.42948717948717946;0.5101727982162765;0.052275390904153445;0.05643647644383793;1.0;0.0,0.0,0.15245009074410154,0.6932849364791289,0.9128856624319418,0.941923774954628,0.617059891107078,0.45553539019963707,0.3647912885662433,0.3103448275862069,0.27586206896551724,0.2740471869328493,0.28312159709618867,0.3103448275862069,0.41923774954627935,0.5771324863883847,0.38112522686025413,0.07622504537205191,0.0,0.0;0.0,0.0,0.4189473684210526,0.48,0.46947368421052627,0.49684210526315786,0.5242105263157895,0.591578947368421,0.5789473684210527,0.6063157894736841,0.4989473684210528,0.32,0.32,0.427368421052631,0.606315789473684,0.7515789473684211,0.8863157894736845,0.36842105263158026,0.0,0.0;0.08690828402366864,2
ё;0.0;0.12524461839530332;0.12133072407045009;0.17221135029354206;0.10763209393346379;0.12133072407045009;0.21526418786692758;0.11545988258317025;0.021526418786692758;0.4427216618997441;0.5157684780972452;0.05076393543912139;0.06317627317304596;1.0;0.0,0.0,0.32675438596491224,0.7127192982456141,0.9364035087719298,0.7631578947368423,0.5328947368421053,0.4166666666666667,0.4583333333333333,0.5416666666666666,0.44298245614035114,0.350877192982456,0.3662280701754387,0.4495614035087715,0.6907894736842104,0.6030701754385964,0.26096491228070223,0.11403508771929868,0.0,0.0;0.0,0.0,0.7942583732057416,0.7081339712918662,0.0,0.1913875598086121,0.5406698564593302,0.5,0.5454545454545454,0.5909090909090909,0.5837320574162679,0.6602870813397129,0.3540669856459331,0.36363636363636365,0.44258373205741597,0.569377990430622,0.8995215311004781,0.7200956937799056,0.0,0.0;0.07729289940828403,4
ж;0.039927404718693285;0.11978221415607986;0.132486388384755;0.018148820326678767;0.30127041742286753;0.06352087114337568;0.13793103448275862;0.12885662431941924;0.05807622504537205;0.4922169482060589;0.49546279491833034;0.04466780928932164;0.05397081187354884;1.0;0.0,0.13684210526315788,0.3543859649122807,0.09824561403508773,0.1,0.275438596491228,0.6719298245614033,0.7087719298245616,0.24385964912280672,0.7385964912280701,0.7385964912280701,0.2614035087719296,0.6754385964912277,0.6649122807017558,0.27543859649122826,0.1,0.06666666666666667,0.3964912280701749,0.1824561403508779,0.0;0.0,0.0,0.4792243767313019,0.6842105263157895,0.6980609418282548,0.7894736842105263,0.7783933518005541,0.631578947368421,0.5789473684210527,0.5872576177285318,1.0,0.5512465373961218,0.631578947368421,0.7202216066481987,0.7977839335180053,0.8144044321329639,0.6343490304709142,0.6565096952908599,0.0,0.0;0.15273668639053253,6
з;0.015486725663716814;0.10398230088495575;0.19690265486725664;0.0;0.12831858407079647;0.18584070796460178;0.06415929203539823;0.2013274336283186;0.10398230088495575;0.5966218515997277;0.49940435670524164;0.030353861454748252;0.06598841307836427;1.0;0.0,0.0,0.026315789473684195,0.07330827067669171,0.0977443609022556,0.09210526315789476,0.28947368421052627,0.4003759398496241,0.3045112781954888,0.2556390977443609,0.3101503759398495,0.4849624060150377,0.7443609022556389,0.8251879699248121,0.9248120300751876,0.6578947368421052,0.3947368421052632,0.09210526315789608,0.0,0.0;0.0,0.0,0.5583524027459954,0.6475972540045767,0.5331807780320367,0.459954233409611,0.34782608695652173,0.34782608695652173,0.49427917620137274,0.34096109839816935,0.30434782608695654,0.3249427917620137,0.34782608695652173,0.38672768878718516,0.4485125858123566,0.5766590389016019,0.9839816933638437,0.4599542334096126,0.0,0.0;0.08986686390532544,2
и;0.0888208269525268;0.07044410413476264;0.10107197549770292;0.16232771822358347;0.055130168453292494;0.17611026033690658;0.14548238897396631;0.0995405819295559;0.10107197549770292;0.477264695488279;0.5116621510189657;0.05667703109888899;0.052367460257515076;1.0;0.0,0.0,0.06191950464396283,0.5046439628482972,0.7925696594427243,1.0,0.7554179566563468,0.4953560371517029,0.1037151702786378,0.08823529411764706,0.058823529411764705,0.1346749226006193,0.47213622291021645,0.7554179566563463,0.7306501547987617,0.653250773993808,0.44736842105263186,0.10216718266253934,0.0,0.0;0.0,0.0,0.17105263157894735,0.7083333333333334,0.730263157894737,0.6600877192982456,0.5833333333333334,0.6162280701754386,0.6666666666666666,0.631578947368421,0.6600877192982455,0.625,0.625,0.6666666666666666,0.7214912280701751,0.7828947368421053,0.9956140350877191,0.4144736842105281,0.0,0.0;0.07803254437869822,2
й;0.013986013986013986;0.0944055944055944;0.022727272727272728;0.18356643356643357;0.08041958041958042;0.19755244755244755;0.18006993006993008;0.12937062937062938;0.0979020979020979;0.4698426573426574;0.5602138246369015;0.049818929809432096;0.05053583274966643;1.0;0.0,0.0,0.0980036297640653,0.45735027223230484,0.7749546279491832,0.941923774954628,0.647912885662432,0.4010889292196008,0.11796733212341187,0.27586206896551724,0.2813067150635209,0.3466424682395645,0.6969147005444646,0.7894736842105262,0.6950998185117966,0.5245009074410163,0.2813067150635211,0.02540834845735064,0.0,0.0;0.0,0.0,0.391304347826087,0.43478260869565216,0.11441647597254045,0.0,0.3890160183066359,0.7917620137299772,0.6956521739130435,0.6453089244851259,0.6086956521739131,0.6521739130434783,0.6956521739130435,0.6956521739130435,0.6521739130434783,0.7276887871853546,0.8215102974828373,0.8352402745995438,0.0,0.0;0.11057692307692307,5
к;0.0683453237410072;0.11330935251798561;0.13489208633093525;0.1528776978417266;0.20323741007194246;0.0;0.1474820143884892;0.1079136690647482;0.07194244604316546;0.44666574432761486;0.49252905368013283;0.04295757287575924;0.05884706265892739;1.0;0.0,0.0,0.05263157894736839,0.36842105263157887,0.7838345864661652,0.8721804511278195,0.8139097744360902,0.6221804511278196,0.3590225563909775,0.2969924812030074,0.45864661654135336,0.5714285714285714,0.6071428571428571,0.4041353383458652,0.32142857142857145,0.35714285714285715,0.28759398496240607,0.14661654135338403,0.0,0.0;0.0,0.0,0.15009746588693948,0.8226120857699805,0.754385964912281,0.41910331384015603,0.3333333333333333,0.2962962962962963,0.3333333333333333,0.43079922027290435,0.5302144249512671,0.48148148148148145,0.4892787524366471,0.48538011695906447,0.46588693957115,0.5087719298245613,0.5536062378167641,0.5360623781676421,0.0,0.0;0.11353550295857988,1
л;0.0;0.125;0.19467213114754098;0.0;0.0942622950819672;0.2192622950819672;0.12090163934426229;0.11270491803278689;0.13319672131147542;0.5953262925598991;0.49290668348045397;0.03848737777023976;0.06776057825487518;1.0;0.0,0.0,0.14802631578947367,0.18914473684210525,0.16447368421052636,0.11184210526315792,0.125,0.18092105263157893,0.29605263157894735,0.3536184210526315,0.23848684210526333,0.192434210526316,0.5822368421052629,0.8371710526315786,0.9868421052631579,0.7483552631578947,0.44407894736842135,0.04605263157894804,0.0,0.0;0.0,0.0,1.0,0.45748987854251016,0.38461538461538464,0.34615384615384615,0.35020242914979755,0.34615384615384615,0.3663967611336033,0.37854251012145756,0.3137651821862349,0.32591093117408904,0.34615384615384615,0.3421052631578946,0.3906882591093116,0.7631578947368423,0.8117408906882593,0.2570850202429171,0.0,0.0;0.11057692307692307,1
м;0.008976660682226212;0.1310592459605027;0.13644524236983843;0.02333931777378815;0.19569120287253142;0.1813285457809695;0.08976660682226212;0.10233393177737882;0.1310592459605027;0.5755075265847259;0.49623670763706673;0.04792685750924133;0.052161349937646;1.0;0.0,0.0,0.15,0.1236842105263158,0.075,0.13552631578947366,0.2,0.25,0.3881578947368416,0.9960526315789474,0.20789473684210602,0.1,0.1,0.1,0.4473684210526313,0.7381578947368421,0.6565789473684214,0.3618421052631584,0.0,0.0;0.0,0.0,0.27423822714681434,0.8504155124653738,0.7645429362880887,0.6925207756232687,0.6371191135734071,0.7257617728531855,0.7119113573407203,0.7202216066481995,0.6842105263157895,0.6842105263157895,0.6731301939058173,0.7313019390581714,0.6925207756232684,0.922437673130194,0.9501385041551247,0.2465373961218864,0.0,0.0;0.14681952662721892,4
н;0.059900166389351084;0.09317803660565724;0.1264559068219634;0.13810316139767054;0.10815307820299501;0.1713810316139767;0.13643926788685523;0.06655574043261231;0.09983361064891846;0.49705618840394217;0.489440675796749;0.052161533542052975;0.05126121281879326;1.0;0.0,0.0,0.025408348457350256,0.3212341197822141,0.7477313974591651,0.8620689655172413,0.8203266787658803,0.6352087114337569,0.29582577132486404,0.06896551724137931,0.06896551724137931,0.17785843920145217,0.5735027223230488,0.816696914700544,0.9310344827586207,0.8257713248638837,0.4228675136116157,0.05081669691470128,0.0,0.0;0.0,0.0,0.2268602540834845,0.6569872958257713,0.5372050816696917,0.43375680580762255,0.4174228675136116,0.4482758620689655,0.4482758620689655,0.5353901996370232,0.5353901996370245,0.4301270417422867,0.45553539019963696,0.4482758620689655,0.5117967332123413,0.604355716878403,0.5208711433756807,0.21778584392014683,0.0,0.0;0.11131656804733728,1
о;0.036521739130434785;0.08869565217391304;0.11652173913043479;0.23304347826086957;0.0017391304347826088;0.23478260869565218;0.13391304347826086;0.09565217391304348;0.059130434782608696;0.4839799331103679;0.49678929765886287;0.06927320052348408;0.046193704768403045;1.0;0.0,0.0,0.3859649122807017,0.7385964912280701,0.9491228070175438,0.5526315789473685,0.39298245614035093,0.24035087719298248,0.18421052631578952,0.13859649122807013,0.13333333333333333,0.21754385964912284,0.3,0.4263157894736839,0.7052631578947367,0.9070175438596491,0.6736842105263161,0.1473684210526337,0.0,0.0;0.0,0.0,0.4912280701754385,0.5584795321637427,0.6666666666666666,0.6900584795321637,0.783625730994152,0.8333333333333334,0.8596491228070174,0.9912280701754387,0.8421052631578948,0.9181286549707602,0.8888888888888888,0.8333333333333334,0.7777777777777778,0.7076023391812865,0.6666666666666666,0.4912280701754401,0.0,0.0;0.0617603550295858,2
